微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
D20w7qWXK,就理了个发，居然也要调耳机箍的松紧。  ,无,无,2015-11-02 17:38,微博 weibo.com,1,2,4
D20ry7u7s,nVidia drivers 目前尚不兼容 Xorg 1.18，所以在升级到 #Fedora# 23 后，要先 boot 到 shell，把 xorg-x11 降级到 1.17.2，然后重新安装 nVidia driver （我用的是 355 版本）。  ,无,无,2015-11-02 17:27,微博 weibo.com,0,1,12
﻿D1TETEkEb,sudo dnf system-upgrade download --releasever=23 --best --allowerasing \ Total download size: 1.6 G \ Is this ok [y/N]: y  ,无,无,2015-11-02 00:10,微博 weibo.com,6,6,3
D1Q5CxUmg,社科院的铁栏杆都生锈了，里面，也没有几个年轻人。  ,无,无,2015-11-01 15:05,魅族 MX4,7,3,1
D1Q1U3PL2,打火机，除了可以点烟，还可以借给别人，点烟。#打火机#  ,无,无,2015-11-01 14:56,魅族 MX4,3,0,2
D1PXX6tYr,我坐在大戏院的柱子旁晒太阳。哦，是看风景。  ,无,无,2015-11-01 14:46,魅族 MX4,2,1,0
D1IIMswvC,“手机厂商在硬件的打造上花费了过多的功夫，而用在软件创新上的力气，相比之下则远远不够... 。Robin 的系统会自动找出那些近期没有被使用过的应用、数据并将其直接上传到云端...，当你想要再使用它的时候，点击一下，手机就会从云端开始下载包括偏好设定在内的所有数据”。http://t.cn/RywQXy8  ,无,无,2015-10-31 20:20,微博 weibo.com,1,2,0
D1y9pBBoj,明天午夜有跟我一起去坐有鬼电车的吗，在大栅栏。  ,无,无,2015-10-30 17:25,魅族 MX4,1,0,2
D1xtOyXpi,打车到了，52 块钱，没零钱，师傅也找不开，我说，那就再坐几块钱吧。  ,无,无,2015-10-30 15:43,魅族 MX4,7,0,8
D1gHcfaVK,其实真的不是 #Java# （本身）的错。via vladon.twitter  原图 ,http://ww2.sinaimg.cn/large/6fc85a2fjw1exh5co9fcej20kj0jqwgs.jpg,无,2015-10-28 20:59,微博 weibo.com,19,149,24
D1guV4JNp,"#JavaOne# Oracle 演示了在 browser 上的 IDE，后台是基于 NetBeans 的所谓 ""cloud services""，通过 WebSocket 通讯。我在想，如果后台能够即时增量发送渲染好的 DOM，确实可以以比较简洁的方式实现这个效果。如果所有基于 NetBeans 的语言插件都能通用（按理可以设计成这样的），就极好。  原图 ",http://ww4.sinaimg.cn/large/6fc85a2fjw1exh4g5zstij20sg0lctav.jpg,无,2015-10-28 20:29,微博 weibo.com,5,3,0
D18ht2v36,知乎给我的感觉，就是有人正等着谁来问这个问题以及这样来问这个问题。  ,无,无,2015-10-27 23:34,魅族 MX4,5,1,5
D185Tgwyb,好像哪里不对  原图 ,http://ww2.sinaimg.cn/large/6fc85a2fgw1exg3dkjblej20ge0gc0th.jpg,无,2015-10-27 23:05,微博 weibo.com,5,2,2
D174fyuTv,走过去，才（就）会有体会：“呐，人们无法选择自己出生的时代，如何处理与它的关系，就看各人造化了…”    #豌豆荚一览#「知乎 | 如何评价电影《山河故人》？」http://t.cn/RUbCRZS   ,无,无,2015-10-27 20:28,豌豆荚一览,1,0,0
D0EpRuDWf,#还有两个月# 英国的圣诞老人开会。Via The Guardian  原图 ,http://ww2.sinaimg.cn/large/6fc85a2fjw1excgcv1uu8j20y10kfdql.jpg,无,2015-10-24 19:32,魅族 MX4,4,0,0
D0CTTAtEr,Leave. Go out into the world and discover who you are... #豌豆荚一览#「Medium | Why You Need To Move Away From Your Home Town」http://t.cn/RUwgNJa   ,无,无,2015-10-24 15:40,豌豆荚一览,1,0,0
D0xpJ6Z7P,Flashed first build of CM 13 (Marshmallow) for Moto G (Thea).  [组图共2张] 原图 ,"http://ww4.sinaimg.cn/large/6fc85a2fjw1exblfx6vpej20k00zkn2v.jpg,http://ww1.sinaimg.cn/large/6fc85a2fjw1exblfxqvq2j20k00zkgo4.jpg",无,2015-10-24 01:42,Android客户端,1,1,4
D0f5fxO5f,(续) 包括整个架构的设计理念，包括关键细节上的设计（avro record flat view 和 avro record projection）都自认为是很有意（jing）思（cai）的部分。这些设计虽然挺考验基本功，但一旦到位，整个处理会变得简洁自然。  ,无,无,2015-10-22 03:02,微博 weibo.com,3,1,0
D0f3cuDEj,#JPQL on Chana# 对于不是很大的数据集（比如全部能放倒内存中）；不是很复杂的查询（比如只有一个内嵌集合字段的 JOIN）；不是很在乎性能上的优化（比如每秒钟才处理一次），的场景，已经可用。后续是更仔细的性能调优，以及对已经换出内存的数据的查询等等。整个实现中，设计很重要，包括... (待续)  ,无,无,2015-10-22 02:57,微博 weibo.com,3,4,3
D0dOI9has,#JPQL on Chana# 写了几个简单的 scripts 可以用来试一下基本的实时查询。http://t.cn/RUPu6Dj  ,无,无,2015-10-21 23:49,Android客户端,4,0,0
D0414nfBH,躺床上三天了，不知道是不是被雾霾+冷风放倒的。现在正式起来一下。  ,无,无,2015-10-20 22:52,微博 weibo.com,1,4,4
CFy6m8UK1,退下来的 mx4 也得刷 CM，大不了变砖。  [组图共2张] 原图 ,"http://ww2.sinaimg.cn/large/6fc85a2fjw1ex4dzmzuccj20qo18ggwz.jpg,http://ww1.sinaimg.cn/large/6fc85a2fjw1ex4dzo6h6vj20qo18gadi.jpg",无,2015-10-17 20:05,魅族 MX4,0,5,9
CEZGjaZsm,饿了，看到一盒巧克力吃了一颗。为了不被小川上发现，我把包装纸按原样整好放回去。  原图 ,http://ww3.sinaimg.cn/large/6fc85a2fjw1ex06183jlnj218g0xc7dr.jpg,无,2015-10-14 04:28,Android客户端,14,1,7
CEWiF18N0,小川上：爸爸，我拿个铲子来铲~你~。爸爸，你小时候有我大吗。爸爸，为什么猪不用剪指甲。  ,无,无,2015-10-13 19:51,微博 weibo.com,3,2,3
CEW1duCzJ,困。出了地铁站想在路边躺着睡一觉再回家。  ,无,无,2015-10-13 19:08,Android客户端,6,0,3
CEEPkuNHa,#overtheair# 而在另一场名为 connect studio 的 session 中，BBC 介绍了他们为了解年轻人使用移动设备获取信息的场景而设计的大型调查和研究计划，并显然将自己的目标与推动科技和社会进步持续不断地结合在一起。  ,无,无,2015-10-11 23:22,Android客户端,0,0,0
CEEN3fQAG,#overtheair# 第一场就是 BBC 的 micro:bit 微型可编程开发板，作为一家一直以社会进步为己任的媒体，BBC 在 1980 年代就曾以一系列节目推出引起热烈讨论的 BBC Micro 计算机风潮。这一次BBC期望能继续协助提升英国国民的数字技能，并催生新一代的工程师人才。  ,无,无,2015-10-11 23:17,Android客户端,4,3,1
CEEKXzaRN,老牌西方媒体 BBC 显然没有觉得新媒体是一种威胁，在 #overtheair# 的一场 session 中，他们最后请出的是一位坐在轮椅上的 HR 先生，话题也是“我们招人”，屏幕上列出的职位从程序员到网管，全是 IT 的。  ,无,无,2015-10-11 23:12,Android客户端,1,4,0
CEDHsi4BO,我要是跑得能跟闪电侠一样快，吃饭就可以不买单了。  ,无,无,2015-10-11 20:30,Android客户端,7,1,7
CElz4plq9,#JPQL on Chana# 用 avro projection 和 avro record flatten view 完成了基本的功能，包括初步的 join 后，我觉得 avro 可以挖掘的妙处还有很多。比如，我是不是可以把输出的结果也表达为 avro。这里涉及到一些类型推导。  ,无,无,2015-10-09 22:20,Android客户端,3,0,0
CElmItW3Q,倒立的羊  原图 ,http://ww4.sinaimg.cn/large/6fc85a2fjw1ewv81qkutoj20u0140teq.jpg,无,2015-10-09 21:50,Android客户端,4,0,1
CEiCihr0I,昨天一时发楞，盯着地铁站的扶梯看了会，恍惚中觉得那些从扶梯上挨个冒出来的人，是流水线、传送带上的部件，就差一个机械臂，上来一个就拾起来，90 度摆到另一条传送带，继续往下一环送。  ,无,无,2015-10-09 14:50,Android客户端,5,0,1
CEixf3Ezw,#Fedora# 22，耳机有些日子没有声音了，本来问题应该在升级到 kernal 4.1.8 后解决，但还是不行，直到一次完全的 power off 后。  ,无,无,2015-10-09 14:37,Android客户端,0,1,2
CE8oo319d,我看了看落了层灰尘的电脑，背上它去上班了。#连灰尘都没擦#  ,无,无,2015-10-08 12:48,Android客户端,3,0,1
CE3UKcm2j,梦见自己正要从地铁闸口出去，迎面过来一个也推着婴儿车的小伙子示意我把地铁票塞进他嘴里就可以了，我就这样做了，然后醒了，#也不知这样究竟是不是能出去#  ,无,无,2015-10-08 01:24,Android客户端,1,4,0
CE1Xzjhc1,Standing boy's ground  原图 ,http://ww2.sinaimg.cn/large/6fc85a2fjw1ewsudiuxhhj21kw11yh7z.jpg,无,2015-10-07 20:26,微博 weibo.com,0,0,0
CE1UD0Y5o,Big Ben 周边的传统小骗子  原图 ,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewsu5zq6p7j21kw11yh24.jpg,无,2015-10-07 20:18,微博 weibo.com,1,2,5
CE0Yzh0M6,“Moments” 的这种以事件为核心的组织形式意味着用户首次既可以实时跟踪事件的发展演进，又可以事后对事件进行全面回顾。  #豌豆荚一览#「cnBeta.COM | Twitter作出重大调整：推出人工整合热点新闻“Moments”」http://t.cn/RyH4Zaj  ,无,无,2015-10-07 17:55,Android客户端,1,4,0
CDRj8ECDg,月亮、晚霞及其它  [组图共6张] 原图 ,"http://ww3.sinaimg.cn/large/6fc85a2fjw1ewrj92nircj21kw11ydnl.jpg,http://ww1.sinaimg.cn/large/6fc85a2fjw1ewrjb2689sj21kw11yq84.jpg,http://ww3.sinaimg.cn/large/6fc85a2fjw1ewrj9l88obj21kw16owlb.jpg,http://ww4.sinaimg.cn/large/6fc85a2fjw1ewrja354p4j21kw16o418.jpg,http://ww3.sinaimg.cn/large/6fc85a2fjw1ewrj9gs9coj21kw11ywtn.jpg,http://ww1.sinaimg.cn/large/6fc85a2fjw1ewrj9clurkj21kw11ytou.jpg",无,2015-10-06 17:18,微博 weibo.com,8,3,2
CDxTC81Xc,左，左，左，这几天在苏格兰开车我和副驾说得最多的字。 北京 · 北京首都国际机场  显示地图 ,无,北京 · 北京首都国际机场,2015-10-04 15:53,Android客户端,3,0,2
CDsSlyE6C,离开了尚未醒来的爱丁堡…  [组图共4张] 原图 ,"http://ww1.sinaimg.cn/large/6fc85a2fgw1ewojgygad4j21400u0djv.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewojh3coukj20u01400yj.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgw1ewojh6icczj21400u0aes.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgw1ewojhevksnj21400u0dqn.jpg",无,2015-10-04 03:07,Android客户端,10,1,5
CDkUPB3ua,苏格兰高地行  [组图共9张] 原图 ,"http://ww1.sinaimg.cn/large/6fc85a2fgw1ewnkbx94j9j21400u0acz.jpg,http://ww2.sinaimg.cn/large/6fc85a2fgw1ewnkbzqbqcj21400u0akd.jpg,http://ww3.sinaimg.cn/large/6fc85a2fgw1ewnkc2g07bj21400u0wmr.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewnkc4eexwj21400u0tg4.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewnkc5v092j21400u078a.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewnkc8h806j21400u0k4b.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewnkcbpzxrj21400u07dd.jpg,http://ww3.sinaimg.cn/large/6fc85a2fgw1ewnkcegh7jj21400u07e9.jpg,http://ww2.sinaimg.cn/large/6fc85a2fgw1ewnkcgzyxpj21400u046p.jpg",无,2015-10-03 06:51,Android客户端,12,4,3
CD7WEnkAt,Isle of Skye  原图 ,http://ww2.sinaimg.cn/large/6fc85a2fgw1ewlz2wm0r8j21400u0gpc.jpg,无,2015-10-01 21:49,Android客户端,6,1,1
CCRteyDYW,爱丁堡 - 晚霞  原图 ,http://ww1.sinaimg.cn/large/6fc85a2fgw1ewjycp45ffj21400u0jyf.jpg,无,2015-09-30 03:53,Android客户端,9,1,8
CCpq5tqeQ,好像很费劲的桥  原图 ,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewgiik9sn0j21400u0470.jpg,无,2015-09-27 04:28,Android客户端,3,0,0
CCpq1C38y,不太高兴的机械  原图 ,http://ww3.sinaimg.cn/large/6fc85a2fgw1ewgiieqca7j20u014044d.jpg,无,2015-09-27 04:28,Android客户端,2,2,1
CCppN9sUM,著名的辐条自行车轮  原图 ,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewgihsby5ij20u0140ako.jpg,无,2015-09-27 04:28,Android客户端,8,3,3
CCpmpEBvn,垃圾桶旁边的吃货  原图 ,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewgi952cs3j20u01407c6.jpg,无,2015-09-27 04:19,Android客户端,4,0,0
CCplUE0yo,吃货们的双层巴士  原图 ,http://ww2.sinaimg.cn/large/6fc85a2fgw1ewgi7u625rj21400u046z.jpg,无,2015-09-27 04:18,Android客户端,2,0,0
CCplG7uST,坐台阶上的吃货们  原图 ,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewgi789pn6j20u0140gwj.jpg,无,2015-09-27 04:18,Android客户端,0,0,0
CCcZOndDr,#overtheair  [组图共4张] 原图 ,"http://ww4.sinaimg.cn/large/6fc85a2fgw1eweznkettdj21400u07le.jpg,http://ww4.sinaimg.cn/large/6fc85a2fgw1eweznngoqoj20qo0zk0yg.jpg,http://ww1.sinaimg.cn/large/6fc85a2fgw1eweznpsmbaj20qo0zkdlc.jpg,http://ww3.sinaimg.cn/large/6fc85a2fgw1ewezns5ee1j20zk0qo44p.jpg",无,2015-09-25 20:51,Android客户端,1,0,9
CC6GQwJQr,在莫名其妙的 Leamington Spa，等最后一班通往伦敦的火车  原图 ,http://ww4.sinaimg.cn/large/6fc85a2fgw1ewe7tih8ugj20zk0qo0zt.jpg,无,2015-09-25 04:47,Android客户端,2,13,0
CBX1clAED,看左看右  原图 ,http://ww3.sinaimg.cn/large/6fc85a2fgw1ewd14n71rkj20ng0v9wk0.jpg,无,2015-09-24 04:10,Android客户端,4,2,2
CBKQm0gle,阿姆斯特丹机场，刚出飞机看到的云。 荷兰·阿姆斯特丹史基浦机场  显示地图 原图 ,http://ww2.sinaimg.cn/large/6fc85a2fgw1ewbjdnikuwj218g0xc1cy.jpg,荷兰·阿姆斯特丹史基浦机场,2015-09-22 21:10,Android客户端,7,1,7
CBiSo4Ixd,设计得好的组件便于替换，所以，设计得好的组件终将被设计得差（无法替换）的组件替换。（忘了英文出处了）  ,无,无,2015-09-19 21:59,微博 weibo.com,107,368,23
CBimCAYtl,悲催的高铁模式  原图 ,http://ww1.sinaimg.cn/large/6fc85a2fjw1ew81ndrmv0j20k00zkdjh.jpg,无,2015-09-19 20:40,Android客户端,3,3,0
CBhNRiAYe,看手机的 N 种姿势  原图 ,http://ww2.sinaimg.cn/large/6fc85a2fjw1ew7z68yuk4j20np0hsgnf.jpg,无,2015-09-19 19:15,Android客户端,1,3,6
CAZ5q0RPg,他深信，计算思维（computational thinking：运用计算机科学的基础概念去求解问题、设计系统和理解人类的行为）是一个非常重要的技能，越早普及越好。#豌豆荚一览#「爱范儿 | 纽约要在十年内普及计算机教育，微软立马出 7500 万美元支持」http://t.cn/RyIwIBk  原图 ,http://ww3.sinaimg.cn/large/6fc85a2fjw1ew5ojka976j20qo0gojs3.jpg,无,2015-09-17 19:36,Android客户端,3,14,0
CARmEkQnn,准备刷 CM thea，如果今晚没用这部手机回这条微博，就是变砖头了。  ,无,无,2015-09-16 23:56,Android客户端,7,1,2
CAOSR7l7R,好像把 Avro record flat view 的逻辑写对了，Chana 很快可以查第一个 join （JPQL 意义上的内嵌集合字段）的结果。  ,无,无,2015-09-16 17:37,Android客户端,8,0,11
CAyI7mCEe,“这些家庭的孩子们长大后成为医生、教师、牧师、工程师、药剂师、城市设计师、股票经纪和记者...”。听过不只一个人亲身讲述过难民经历，他们无一例外地内心充满着对收留他们的国家的感激。加拿大 RCI 的这篇采访让我想起很多年前遇见过的他们。加国华裔女孩回顾当年“越南难民”逃亡经历  ,无,无,2015-09-15 00:27,微博 weibo.com,4,2,4
CAy5horGG,踹你。via jtotheevon.twitter  原图 ,http://ww2.sinaimg.cn/large/6fc85a2fjw1ew2dbcd3o8j208w0dc3z1.jpg,无,2015-09-14 22:51,微博 weibo.com,0,1,1
CAxEf4C23,昨晚的梦是去到了空间站，对自己突然出现在这里，开始的时候还是有些不安。心定下来后，几乎立即转为对狭小空间的焦虑，至此很是怀疑自己的心里素质是否适合太空旅行。想到这里就醒了。#几年内不会再设想自己去太空了#  ,无,无,2015-09-14 21:45,微博 weibo.com,2,3,3
CzrxBsjwK,两个基于 Akka 的产品，上线后分别运行 1 年多和半年多了，没有挂过。暂时地，目前升级时会主动 down，这是为了谨慎起见，因为也可以逐节点升级的。主动 down 时如果要做到服务不停，只需要配一个能应对升级或者回滚时间（比如 10 分钟）的小集群即可。#我们hold得住akka#  ,无,无,2015-09-07 16:21,微博 weibo.com,12,24,13
CzrlIuUt2,#一切反动派都是纸老虎# Scala 不符合标准。最近 CCAV 会同有关专家对超过 100 种计算机编程语言进行了检测，其中 Scala 在易用性方面只得了 1.26 分，低于国家标准 61.8%，不推荐使用。#程序写不下去找到了原因#  ,无,无,2015-09-07 15:52,Android客户端,7,34,8
CzlGZ0L43,JPQL 的 KEY、VALUE、INDEX 关键字怪怪的，要实现起来不太自然呐，我去望会星空...  ,无,无,2015-09-07 01:28,微博 weibo.com,2,3,0
Czllpyyls,1983年高一，参加省里的地质夏令营，在国防科大住了几天。那次我此生第一次见到电脑，以前甚至连它长什么样都不太有概念。参观完机房，等大家都走远了，我还留在那里，因为屏幕上 A> 后一闪一闪暗绿色的小方块仿佛在暗示和鼓励我做点什么。我在键盘上轻轻敲了几个键，电脑则回答... 那是一台 Apple II  ,无,无,2015-09-07 00:35,微博 weibo.com,14,64,37
Czjc11BCm,#豌豆荚一览#「“胡同该拆还是该保护，我说都不支持，行吗？”｜100 个有想法的人 | 好奇心日报」 - 在北京什刹海西海东沿与德胜门内大街之间，有一幢面朝西海一侧的两排砖混结构的厂房建筑，原是北京机械局的厂房，之后被改建为什刹海地区小有名气的蓝莲花酒吧。http://t.cn/RyyyCWQ  原图 ,http://ww2.sinaimg.cn/large/6fc85a2fjw1evsxvkslxtj2074074a9x.jpg,无,2015-09-06 19:06,Android客户端,1,4,0
Czi9iwthT,SQL/JPQL 还是有不少仔细的设计，不同的子句有不同的功用或者区隔，比如：where 子句中不能使用聚集函数，这些约定为实现提供了便利。  ,无,无,2015-09-06 16:27,微博 weibo.com,1,0,0
CzhFv8yci,Erlang 的热代码加载/替换机制是最好的实现之一。JVM 下的对象模型和本身的加载机制都导致真正用起来不是那么简单。对于 Akka 来说，除了要遵循对可变状态的仔细设计和维护外，很多应用也许可以用内置的 JavaScript 引擎来实现。Chana 准备往前走一走试试，增加对自由度更大的一段即时 JS 代码的处理。  ,无,无,2015-09-06 15:13,微博 weibo.com,2,9,4
Czh3zjaBX,下单了新的笔记本电脑，高大重，15.6 吋，E3-1231 V3 处理器，GTX970M 显卡，32G 内存，1T 硬盘，不计砖头电源重量在 7 斤左右，每天负重训练。没错，它就是 蓝天准系统 P751ZM。  [组图共2张] 原图 ,"http://ww2.sinaimg.cn/large/6fc85a2fjw1evsof5rrfxj20hb0cgq4s.jpg,http://ww2.sinaimg.cn/large/6fc85a2fjw1evsof81o7hj20h70cmmy9.jpg",无,2015-09-06 13:40,微博 weibo.com,11,37,34
Cz11Pb3Bv,下一种流行的语言叫 Niao  ,无,无,2015-09-04 20:52,Android客户端,3,12,5
Cz0De9Mxh,akka-data-replication 在 akka 2.4 中重新命名为了 akka-distributed-data，一言以蔽之：Concurrent sharing of “data in motion” across clusters with CRDTs。这是个好名字和好的解释。在 Chana 中，我用它来将集群的 ‘global’ 状态发布到可以就近存取的每个 node 上。 http://t.cn/Ry28Fza  ,无,无,2015-09-04 19:51,微博 weibo.com,0,1,0
CyFQy2o8F,你好，你的汽车发现版本，请坐稳点击开始更新。  ,无,无,2015-09-02 14:56,Android客户端,3,6,1
CyFMCvVXY,#豌豆荚一览#「雨漫郴州，仰天椅岭下东江 | 数字尾巴」 - “北瞻衡岳之秀，南峙五岭之冲”——郴州 笔者这次游走了群山秀水的郴州，这里的自然景色美丽而且十分地小众，走过了仰天湖高椅岭以及刚升为5A景区的小东江，欣赏了许多景色，跟着一个徒步旅游组织，一路上大家笑http://t.cn/RyAP2vB  原图 ,http://ww4.sinaimg.cn/large/6fc85a2fjw1evo3w4olhmj2074074mx3.jpg,无,2015-09-02 14:47,Android客户端,3,0,0
CyFDh4QJX,平民的旗  原图 ,http://ww3.sinaimg.cn/large/6fc85a2fjw1evo3862xcej20np0hs0w0.jpg,无,2015-09-02 14:24,Android客户端,6,0,1
CyyrNpSE6,「刹那 / CHANA」简介 - 豌豆荚 TECHTALK 的幻灯片。幻灯片是一个提纲，涉及到 Chana 的设计理念和对实时计算的看法。Chana 简介 (1).pdf  ,无,无,2015-09-01 20:06,微博 weibo.com,11,62,17
Cyn8umLkX,世间一切存在，生灭迁流，都无常住，刹那刹那，变化不已…… #TECHTALK#  原图 ,http://ww1.sinaimg.cn/large/6fc85a2fjw1evltkhi5ffj20hs0np75h.jpg,无,2015-08-31 15:18,Android客户端,21,9,11
CxX09zOw1,为什么不少程序员有上帝或者哲学视角，因为他们要把现实世界简写为数学模型，从而需要以外在的眼光去审视和创世这个模型。有一点特别重要，就是驱动这个模型运转的是时钟。  ,无,无,2015-08-28 20:46,Android客户端,12,4,0
CxWEPfvNb,由 git 我们可以得知，如有人回到过去改变了历史，不是非要总是多出来一个平行世界的，因为你可以在适当的时候 merge。  ,无,无,2015-08-28 19:54,Android客户端,11,32,8
CxjgveaMn,持有大量美元外汇储备的国家，多了一个难度颇高的变量。在不可能三角中，固定一个顶点可能是降低调控难度的唯一办法。而从某种角度而言，“资本出逃”未必是坏事，这部分钱自己去寻找市场调节了：【夜读】从“蒙代尔不可能三角”，到“周小川两难”  【夜读】从“蒙代尔不可能三角”，到“周小川两难”  ,无,无,2015-08-24 15:37,Android客户端,2,6,2
CwUmvBeQz,Akka 2.4.0-RC1 发布。不断进化、改进的分布式框架。http://t.cn/RLkO3E3  ,无,无,2015-08-22 00:13,微博 weibo.com,4,14,0
CwSmAf8g5,地铁进站的时候，我的头发就会立起来。  ,无,无,2015-08-21 19:08,Android客户端,0,3,1
CwRt68pdh,大楼有扇自动门，我三进三退还是不开。#不好玩#  ,无,无,2015-08-21 16:51,Android客户端,1,6,5
CwKxbxlqr,"一只赶路的 killer whale (Sooke, B.C. Canada). via Facebook http://t.cn/RLDHmAu  [组图共2张] 原图 ","http://ww3.sinaimg.cn/large/6fc85a2fjw1ev9hekl8lqj20qo0hnwfc.jpg,http://ww1.sinaimg.cn/large/6fc85a2fjw1ev9henh1h9j20qo0hnaay.jpg",无,2015-08-20 23:12,微博 weibo.com,3,0,2
CwryVvt3T,NetBeans 8.1 Beta 已出，但有些 API 有变化。花了两天时间才把 nbscala 调好。  ,无,无,2015-08-18 22:54,微博 weibo.com,4,0,5
CvysY3wcx,网上消息说爆炸地点是位于天津港国际物流中心吉运二道的瑞海危险品仓库，既然是危险品仓库，应该通过了安全距离的要求，但愿伤亡不大。93 年经历过深圳危险品仓库爆炸（二次爆炸伤亡较大）  [组图共3张] 原图 ,"http://ww4.sinaimg.cn/large/6fc85a2fjw1ev0efov1ctj20gw0c2myb.jpg,http://ww1.sinaimg.cn/large/6fc85a2fjw1ev0efszkrvj20z50rygz1.jpg,http://ww2.sinaimg.cn/large/6fc85a2fjw1ev0efvwctuj20z50trwre.jpg",无,2015-08-13 02:38,微博 weibo.com,1,0,4
CvvtW9Kng,#豌豆荚一览#「人民币贬值三重冲击波 | FT中文网」 - FT中文网专栏作家徐瑾：在全球资本回潮加剧的状态下，人民币贬值将是大事件。中国央行必须不仅考虑政策的第一层次影响，还必须考虑其产生的第二冲击波，甚至第三冲击波。人民币汇率也存在类似高估泡沫，央行对此采http://t.cn/RL3zMpL  原图 ,http://ww3.sinaimg.cn/large/6fc85a2fjw1ev019kwixmj2074074jrb.jpg,无,2015-08-12 19:02,Android客户端,0,1,8
CvulkqRNk,#chana# 用 avro 来存贮实体状态，但是用 parquet 来传投影？  ,无,无,2015-08-12 16:08,微博 weibo.com,0,11,5
CuTRpFJA9,手机把人搞成实时消息驱动的了。  ,无,无,2015-08-08 19:16,Android客户端,11,8,4
CuKvTjka5,“拼了”，有两个男的说完就手挽手冲进了雨里。  ,无,无,2015-08-07 19:28,Android客户端,5,7,4
CuKseo9TJ,虽然带了伞，还是被赶回来了。#好大的雨#  原图 ,http://ww3.sinaimg.cn/large/6fc85a2fjw1euu9nfw31jj20hs0npta0.jpg,无,2015-08-07 19:19,Android客户端,2,1,3
CusOGBhcY,"JPQL on Chana，思路厘清，架子搭好后，咔咔就写好了 orderby, groupby, having。对于全部在内存的热数据来说，已是基本可用。现在有些后续优化的思路，包括冷数据的处理思路，不过得安排到本荚的下一个 Q 了。#晚上看美剧#  ",无,无,2015-08-05 22:25,微博 weibo.com,8,2,3
CuhhUuzf3,"JPQL on Chana, refreshing JPQL result in realtime, supported basic WHERE and aggregate functions now. http://t.cn/RLjIeoB  ",无,无,2015-08-04 17:04,微博 weibo.com,3,0,5
CuabXl1ar,花两天扫一下《数据库查询优化器的艺术-原理解析与 SQL 性能优化》。虽然对 JPQL on Chana 来说，很多优化问题已经不再成立。  ,无,无,2015-08-03 23:00,微博 weibo.com,6,7,13
Cu977BDkX,#豌豆荚一览#  既要快速创新把模仿者甩在后面，又要找到办法在可能视 Slack 为对手、试图将之摧毁的同行巨头之间周旋 http://t.cn/RLlMw6p  原图 ,http://ww1.sinaimg.cn/large/6fc85a2fjw1euposubzdlj2074074jrb.jpg,无,2015-08-03 20:15,Android客户端,1,1,0
CtOjetkKY,@王雨舟大Boat @陈兴润 咱们的方案对状态处理就很自然，而且生成时间序列也很简单。 七牛是如何搞定每天500亿条日志的  ,无,无,2015-08-01 15:17,微博 weibo.com,5,28,8
CtIShtpfS,以下是我昨晚的梦：我梦见我在床上坐起来，转 90 度，穿上鞋，走到客厅，喝了杯水，在电脑前坐下，改了一个变量名，返回床上躺下。然后我就真的醒了，走到客厅看到杯子还在原位，git diff 未见有改动，然后喝水，改了变量名，回床上躺下。  ,无,无,2015-08-01 01:27,Android客户端,4,6,5
CtIJqtMlx,下一代的手机能悬浮在你四周跟随你移动。出门的时候先给你探路，遇妖怪时飞速旋转形成一道密不透风的墙。你也可以扔个飞盘让它给你叼回来，或者在肚子饿的时候先当点心吃掉。你叹口气它就开始讲笑话，或者你的笑话不好笑就讲给它听。对了，你睡之前别忘了给它充电。  ,无,无,2015-08-01 01:05,Android客户端,7,5,3
CtGwqxgzI,小心，#豌豆荚一览# 可能让你公司的蹲位变紧张。  ,无,无,2015-07-31 19:28,Android客户端,4,5,2
﻿CtFyrd8Wz,观察人类最早实现的实时系统：股票交易系统，其实已经体现出对连续变化的实体进行离散采样的一般操作思路。不但每只股票的报价是快照，在分钟线或者更小尺度的时间序列里也用 Open/High/Low/Close 来尽量保持最多的信息。在自动控制领域也是如此。  ,无,无,2015-07-31 17:00,微博 weibo.com,8,6,1
CtFtjfg0n,每个 entity 在 “自身变化时 + 定时” 报告自己的快照，这样可以保证观察到的聚合数据_高概率_是完全正确和校正过的（每次报告要求 ACK 也不能保证，还不如放弃） 。但对被 “删除” 从此消失的 entity，再额外强制 ACK。不管怎么样，人所能观察到的结果总是、要是（带时间的）快照。  ,无,无,2015-07-31 16:48,微博 weibo.com,1,2,0
CtFhZqLLF,分布式数据服务的一致性问题有些内生的矛盾，我在想要不要引入概率算了。#不确定性#  ,无,无,2015-07-31 16:20,Android客户端,3,10,0
