微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HzZ6lfwfh,在《美国队长2》中，Fury 局长对 Steve 讲了他祖父的故事。Fury 的祖父每天晚上下班，会提着一个纸袋走回家，里面是他一天挣得的小费。路上他会对遇见的人打招呼，特别友好。也经常会有小流氓问他纸袋里是什么。这时他会打开纸袋给他们看——里面有很多一美元纸币，还有一把上了膛的手枪。做人要菩萨心肠，霹雳手段。知晓与人斗的方法，有与人斗的狠辣，能享受与人斗的其乐无穷——但是，选择与人为善。与人为善必须是一个主动的选择，而不是唯一的选项。否则就不是善良，而是软弱。                                 ,无,无,2019-06-21 23:29,HuaweiPhone客户端,505,300,55
HzTMri6UV,凡人打架请神仙帮忙是要非常小心的。你不可能直接跟神仙说“请您帮我揍他”，对吧？神仙能干那事儿吗？回头先把你给揍了。所以得有点技巧：“您看，他们家的高粱长得都快盖过您的庙了。”神仙一看——这还了得，削了！庄稼不得高过一丈！于是他们家的高粱穗儿就都被削没了。你们家种的是玉米，没事儿。但是啊，保不齐神仙从此就惦记上你们村的庄稼是不是碍着他的庙了。好日子开始了。                                 ,无,无,2019-06-21 09:56,微博 weibo.com,458,330,92
HzOBq6rO1,@生活是1条大马哈鱼 来到果园。“苹果多少钱 1 个？”“2 元。”“那买 40000 个就是 14464 元对吧？”“你数学是不是体育老师教的？”“不是。但我的钱是做程序员挣来的。”  原图 ,http://wx2.sinaimg.cn/large/53899d01ly1g47un8uyuxj20v90rzk7w.jpg,无,2019-06-20 20:46,微博 weibo.com,175,34,61
HzLWw4io7,对安全问题的一个常见误解是认为漏洞是某种像导弹一样的东西，可以用油纸包起来放到山洞里。但导弹不会消失，而漏洞转瞬即逝。漏洞是动态的，不断产生，不断消失，所以其实更像电。电一旦发出来，难以长期保存。所以搞电力建设，核心不是囤积多少电池，而是建多少电站。对于漏洞来说，“电站”就是安全研究者。在漏洞研究领域，人和人的差别有多大呢？大到一万个臭皮匠也顶不了一个诸葛亮。在任何行业，这种情况都是管理者最不喜欢的，但又是一个客观事实。在目前以及可预见的未来，没有什么软件或硬件能代替优秀的漏洞研究者。目前业界公认水平最高的漏洞研究团队是 Google 的 Project Zero。Project Zero 汇聚了全世界各类漏洞研究方向上最好的一些人，每年都能产出数量和质量惊人的成果。那为什么这些人都愿意去 Project Zero？Project Zero 的待遇当然是很好的。但同样的待遇，很多公司都能给得出。最主要的原因是 Google 给了 Project Zero 最宽松的氛围，特别是制度性地允许和鼓励对研究结果进行完全披露。对研究者来说，除了薪酬待遇，最重要的是自己的成果能为业界所知，能自由地进行交流。这一点，决定了他们能够从内心中产生强大的自我驱动力，能对研究的问题昼思夜想，全身心投入。而不会像大多数人那样抱着拿一份钱打一份工的想法。不会多工作几分钟就认为公司占便宜了，自己吃亏了。2006 年前后，国内网络安全研究人员的薪酬水平比较低。那几年 McAfee、Fortinet 等外企从中国挖走了大批优秀人才。以至于硅谷有些安全公司研究团队里一半以上都是华人。2012 年之后，国内这个行业的薪酬情况逐渐好起来，去国外的人就少了，一些已经去了国外的人也回来了。目前国内安全研究实力和美国相比尚有差距，但处于蓬勃发展的状态。相对自由的环境，让大批优秀的年轻人愿意加入这个行业，展现才华，获得属于自己的成就。如果现在改变这种环境，让每个人在发布研究成果时都思前想后战战兢兢，短期内也许能获得些许表面上的平安和稳定。但长期来看，一定会对安全人才培养造成非常负面的影响。说漏洞像电，漏洞其实又不像电。三峡的电，如果中国人不发，别的国家也发不了。但任何漏洞，如果你没有足够的人才来研究，是拦不住别人去研究的。                                 ,无,无,2019-06-20 13:59,微博 weibo.com,682,621,103
HzG6Yl3cl,刚参加工作的时候，部门接到各类任务，领导问我能不能干，我一般都说让我去试试吧。然后抓紧时间查资料，学习和这项工作有关的内容。勇敢接受工作挑战，可以让人快速成长。也会让你有更多的机会，这是个马太效应的事儿。我记得当时的领导给过我这样一个评语：“不管什么工作，交给你我就放心了，反正你总有办法搞定”。当然也要了解清楚需求，特别是对时间的要求，评估好是否在自己跳一跳能够得着的范围内。                                 ,无,无,2019-06-19 23:09,HuaweiPhone客户端,461,195,68
HzFoPc64e,网文真是啥素材都能用上啊……  原图 ,http://wx3.sinaimg.cn/large/53899d01ly1g46s3o46q0j20v91dc7wh.jpg,无,2019-06-19 21:20,HuaweiPhone客户端,197,193,121
HzEYKfVhz,翻开商务印书馆的第 10 版《新华字典》第 661 页，可以看到：“张华考上了北京大学；李萍进了中等技术学校；我在百货公司当售货员：我们都有光明的前途”。1997 年的电影《Starship Troopers》讲的也是三个好朋友的故事：“Carl 被星区研究发展所选中发展超能力，Carmen 当上了星舰驾驶员，我当上了机动步兵：我们都有光明的前途”。总结了一下 Starship Troopers 系列。真人电影有：Starship Troopers (1997)Starship Troopers 2: Hero of the Federation (2004)Starship Troopers 3: Marauder (2008)据编剧 Mark Swift、Damian Shannon 透露，还有一部正在拍，最快 2019 年上映。动画电影有：Starship Troopers: Invasion (2012)Starship Troopers: Traitor of Mars (2017)最新这部 Starship Troopers: Traitor of Mars，我强烈怀疑不是纯动画。有些镜头看起来像实拍和动画混合的，这样可能更省钱。动画剧集有：Roughnecks: The Starship Troopers Chronicles (1999) 另外，1997 年第一部电影中，演 Carl Jenkins 的 Neil Harris 后来演了《How I Met Your Mother》中的 Barney。             [组图共3张]      原图                             ,"http://ww2.sinaimg.cn/large/53899d01ly1g46dyphlygj20bw0bwjrp.jpg,http://ww1.sinaimg.cn/large/53899d01ly1g46dypsdkfj20k10k0gmk.jpg,http://ww3.sinaimg.cn/large/53899d01ly1g46dypz471j20av0avgmh.jpg",无,2019-06-19 20:16,微博 weibo.com,86,30,45
HzDQX6AUH,50 万粉了。按照咱们之前说的，明天通过@微博抽奖平台 抽出一位粉丝，赠送一个定制段子。想参与的可转发此条微博，并在转发内容里提供三个词，名词动词形容词都可以。我会用这三个词和中奖者 ID 编一个段子。如果中奖者未在转发内容里提供三个词，或提供的词有害微博社区的和谐氛围，我将重新开奖。  抽奖详情                                 ,无,无,2019-06-19 17:24,微博 weibo.com,78,309,179
HzBhQoQZB,限制漏洞披露，结果必然会影响漏洞研究本身。漏洞研究和其它科技研究工作一样，都是特别苦的事情。人为什么愿意干特别苦的事情？那些博士们为什么愿意在实验室长年累月熬着？当然是为了发布研究成果，获得由此带来的收益（名、利、自我实现感，等等）。限制漏洞披露，就是削减漏洞研究的收益。如果这种限制是全世界统一行动，那么大家刀枪入库，马放南山，卸甲归田，也挺好的。而如果只是一个国家这么干，那就相当于自己单方面主动裁军。                                 ,无,无,2019-06-19 10:52,微博 weibo.com,373,453,100
HzAUMvCVQ,通货膨胀是政府独有的权力，也是执政所需的手段。搞普惠的抗通胀的体系，就是在缴政府的械。  ,无,无,2019-06-19 09:55,微博 weibo.com,211,64,32
HzAonqqeM,facebook 想搞的那个 Libra 币，被众议院金融服务委员会主席叫停了。  原图 ,http://wx1.sinaimg.cn/large/53899d01ly1g4660ficzgj20u8174jzj.jpg,无,2019-06-19 08:35,HuaweiPhone客户端,114,170,73
HznA1t56Y,我们经常以生物的智力来比拟人工智能达到的程度，例如“某某人工智的图像识别能力达到猫的水平”、“某某人工智能达到两岁孩子的智力”。但我们并不害怕猫和两岁的孩子，因为他们的现实交互能力很弱，即使犯傻，能造成的伤害也就是在你腿上挠几下，或者把饭甩到你脸上。现在想象一下，全世界的两岁孩子，忽然拥有了成年人的身体；全世界的猫，忽然拥有了老虎的身体。如果给比较傻的人工智能以强大的现实交互能力，就会是这样糟糕的后果。当然，这种可能性不大，我们不会给小孩玩打火机，而且即使发生了也可以得到弥补和修正。而对于超过人类智力的人工智能，关系就反过来了——你是那只猫，你是那个两岁的孩子。人工智能可以拥有什么样的现实交互能力不取决于你，而取决于其本身的意愿：一个两岁的孩子看守着一个成年人，如果成年人想从孩子手上骗到钥匙，能有多困难呢？然后还有什么可以阻止他让看守武器库的孩子打开大门？                                 ,无,无,2019-06-17 23:58,HuaweiPhone客户端,140,67,26
Hzmyt9oFV,按正常情况发展，本周粉丝数会达到50万。我准备到时候抽个奖。你们说抽什么？  ,无,无,2019-06-17 21:21,HUAWEI P20 Pro,90,117,282
Hzjl1Et7G,每年 3 月 5 日是学雷锋日。不过现在不怎么提了。雷锋说过一句话：“在工作上，要向积极性最高的同志看齐；在生活上，要向水平最低的同志看齐”。这句话有着深深的五六十年代味道，看起来已经不合时宜。其实换成今天的语言就是：提高能力，控制欲望。你的爷爷见过的最好看的姑娘就是村口的小芳，村里生活最好的人家也不过顿顿能吃炒鸡蛋。而现在，你一打开屏幕，满眼的香喷喷紧绷绷鼓胀胀，戴着沛纳海去爱琴海。你很难不为之所动。然而如果为之所动了，也很难不焦虑。数字技术让我们获取信息变得异常便利，让我们更容易提升自己的能力，同时也更容易产生欲望。但能力提升的速度是多项式级别的，而欲望则很容易以指数级速度增长。所以，想减轻焦虑，提升能力是可选项，控制欲望是必选项。因为能力的提升永远赶不上欲望的膨胀。利用欲望让自己努力，控制欲望让自己快乐。                                 ,无,无,2019-06-17 13:10,HuaweiPhone客户端,715,573,69
Hzjb8fwfr,十几年前流行过一篇文章叫《把信带给加西亚》。前些年又流行过批判这篇文章。研究工作大多和那位送信者面临的情况差不多：有一封信交给你，让你送给加西亚。加西亚在哪儿？没人知道。你得自己找，把信送到。做研究工作，第一步是资料查找。这是从事研究探索最基础的能力，非常重要。而且也没有想象的那么简单，并不是每次把想问的问题输入搜索引擎都能得到答案。所以没找到答案可能不是没有答案。具体用哪些关键词、怎么组合这些词、怎么根据第一步搜索结果中的线索再提取关键词、怎么判断搜索结果有效性，等等，这些都需要反复实践和归纳思考。通过资料查找，就可以知道是否有人做过类似工作，是否有可直接参考的资料。有时候你会发现全世界也没人做过类似工作。这时就需要针对目标，进行路径分析，看看有哪些路可能通往目标，然后再针对这些分解出的路径再进行资料查找。这种目标分解有时候会不止一层。也就是说那些分解出来的路径也可能没有资料。那就需要针对路径再作路径分解。然后遍历这些路径。 从历史经验看，天分高、脑子快、手速快、对技术路径有敏锐直觉的人，当然能干得快一些。而一般人只要愿意坚持遍历路径，能扛得住长期得不到正反馈，大部分也能干出成绩。就是会痛苦一些。别人乐在其中，你苦在其中。不怕苦的话也行。                                 ,无,无,2019-06-17 12:46,HuaweiPhone客户端,222,130,38
HzhzQd3pO,如果抛开一切文化和价值观去思考“为什么要生孩子”这类问题的话，那么甚至人活着都是没有意义的。我们可以认为生物都是基因的奴隶：基因用一点性快感，哄骗我们吃尽辛苦地帮它一代一代复制；基因在我们的大脑中植入了对死亡的恐惧，让我们即使知道这一点也还是好死不如赖活着。所以讨论“要不要生孩子”这类问题必须基于某个价值观，否则讨论本身也毫无意义。生孩子和整容一样，风险与收益同在。想整就整，不想整就不整。自己的事，自己做决定，自己承担代价和后果。而无论念叨多少遍，发起多少讨论，都不会改变这个决定带来的后果，也无法纾解内心对不确定性的焦虑。                                 ,无,无,2019-06-17 08:41,HuaweiPhone客户端,305,166,71
Hzhixifye,p0tt1 曾把对企业网络的常见渗透思路写了个顺口溜。里面提到的，其实也就是网络防御工作必须关注的一些基本点。我加了一些注释，便于大家理解：搞企业，先扫描；扫描器，商业好； // 商业版扫描器通常比较强大默认密，都知道； // 很多系统存在默认账号默认口令社工库，找一找；邮箱号，先列好； // 搜集企业员工个人邮箱九头蛇，跑一跑； // Hydra 是一个密码破解工具搞不定，放大招；发邮件，凭伪造； // 发钓鱼邮件，比如冒充管理员让用户到指定页面去输入密码没邮箱，搞网站；二级域，皆可爆； // 主域的防护通常较好，某些较弱的二级域可作为突破点老漏洞，没修好； // 有些老漏洞可能没有被恰当地修复，工作失误也可能让漏洞回归新漏洞，刷一票； // 大部分企业对漏洞能做到一周内修复就算三好学生了干研发，Git  找； // 常有人把为公司写的代码也传到github上，里面可能会包含口令等源代码，全都要； // 即使源码不包含口令，也很有助于发现漏洞CDN ，  可以跳；防火墙，可以撬；堡垒机，可以绕；云防护，可以秒； // 各种防护措施都不是有了就行，需要正确地使用是企业，没有哪家搞不了！                                 ,无,无,2019-06-17 07:58,HuaweiPhone客户端,373,380,50
Hzh9h99fG,男人是一家之主，每顿饭吃什么必须由男人来决定。买菜做饭这种事绝不能让女人把持。花围裙一扎，厨房门一关，做什么媳妇就得吃什么。  ,无,无,2019-06-17 07:36,HuaweiPhone客户端,573,288,133
Hzh2P6gfE,古人说：鼠在所居，人固择地。然而古人又说：宁为鸡首，不为牛后。古人说：乱世出英雄。然而古人又说：宁做太平犬，不做乱世人。所以，选什么专业、要不要考研、去不去北上广、红玫瑰还是白玫瑰——我们想要的答案从来都没那么简单。得看自己是什么情况，所处的环境所遇到的问题又是什么情况。这些情况根本不可能用几句话描述清楚。必须得自己去分析，自己做决定，别人给不了答案。 要不然，生而为人就太容易了。                                 ,无,无,2019-06-17 07:20,HuaweiPhone客户端,267,96,28
HzgKnw1al,关于友谊，芝加哥大学心理系教授米哈里·契克森米哈赖的《当下的幸福》中这样说：如果友谊只是消除自我不安全感的手段，那么它虽然还是能给人快乐，却不具有乐趣的作用，也无法帮助成长。例如，酒肉朋友在全世界的小社区中都很常见，成年男性聚在一起嘻嘻哈哈，在酒店、小酒馆、餐厅、茶艺馆、咖啡厅、啤酒屋的欢乐气氛下，借打牌、掷飞镖、下棋消磨时间，或一边拌嘴、互相嘲弄。每个人都对别人的观念和癖好付出注意力，并由此互相肯定自我存在的价值。这种社交方式只是模拟友谊，并不能提供真正的友谊。每个人偶尔花一天嚼舌根，都会觉得有趣，但很多人却变得极端依赖每天肤浅的接触。与同侪为伴的经验跟所有其他活动一样，可分成不同的层次：最低的层次最简单，但只是暂时摒除混沌、制造快乐的一种方法；最高层次则能带来高度的乐趣与成长。最强烈的体验也是在亲密友谊之中产生的。亚里士多德曾说：“纵使拥有世上所有的宝物，如果没有友谊，也没有人能活得下去。”指的就是这样的关系。从一对一的友谊中得到乐趣，需要心流活动的全部条件。不但要有共同的目标、相互的回馈（这些在一般酒吧或鸡尾酒会上的互动也能提供），更需要从共处中发掘新的挑战。这也许只是一天比一天更了解朋友，发现他与众不同的地方，同时也渐渐崭露自己的独特之处。跟另一个人分享自己的秘密和思想，可谓是人间至乐。这些条件虽然乍看很普通，事实上却需要大量的注意力、开放的态度和敏锐的感觉。现实生活中，在友谊上投注这么多精神能量的实例却少得可怜，因为很少有人愿意付出这么多精力和时间。                                 ,无,无,2019-06-17 06:34,HuaweiPhone客户端,275,201,28
HzcYGEsYW,恩里科·费米提出过一个问题：以我们这个宇宙惊人的年龄和惊人的广阔，生命应该是广泛存在的——但为什么我们一直没有发现外星人的踪迹？别说来访的飞行器，连无线电信号都探测不到？这个问题叫费米悖论。罗宾·汉森对此提出了一个解释：也许宇宙中出现过很多生命，但这些生命在演化到一定程度会遇到一个极端困难不可跨越的阶段，从而最终灭绝。这个理论叫大过滤器理论。大概文明只有在吃不太饱和刚刚吃饱的状态才能持续，再怎么水灾旱灾天花黑死病都能持续。而一旦吃饱之后，熬不到能和别的星球通讯，就自己作死了。                                 ,无,无,2019-06-16 20:59,HuaweiPhone客户端,202,117,82
HzcrwAIG0,今年 Blackhat 原本打算请 Will Hurd 来做 Keynote。Will Hurd 早年在 CIA 当特务。2010 年开始从政。因为他有计算机专业背景，所以是国会里信息技术和网络安全话题的代言人。这些都没什么，最稀有之处在于他是本届众议院共和党议员中唯一的黑人。自 1930 年来，“黑人共和党”这种情况在众议院只出现过 7 个。我以前讲过“老妓从良效应”。作为黑人共和党，Will Hurd 也比一般共和党更共和党。在一些和妇女权益相关的问题上，他的立场都非常共和党，比如反堕胎、反对拨款支持女性进入 STEM 领域。在 Blackhat 宣布今年会邀请 Keynote 之后，电子前哨基金会的网络安全主管 Eva Galperin 首先在 Twitter 上对 Blackhat 请 Will Hurd 这事儿表示了不满。电子前哨基金会可不是一般的组织，在美国技术界的地位少说相当于全真派，跺一脚地都是要颤的。于是之后安全界一些大佬也纷纷响应，表示如果 Blackhat 请他的话我就不去了。一天后，Blackhat 宣布将取消 Will Hurd 的演讲。             [组图共2张]      原图                             ,"http://ww4.sinaimg.cn/large/53899d01ly1g438kp25hnj20gp0jwqae.jpg,http://ww3.sinaimg.cn/large/53899d01ly1g437rna8wjj20gh0asmym.jpg",无,2019-06-16 19:37,微博 weibo.com,54,32,21
HzanFa0xk,你看，人家 just keeping open mind，你这么较真就显得特别没有风度。而且还会产生忽然一口气堵住，想吐血吐不出来的感觉，特别不利于健康。好良言难劝该死鬼，大慈悲不救自绝GENE。  tombkeeper的秒拍视频  ,无,无,2019-06-16 14:22,秒拍网页版,126,80,48
Hz9Nu57dO,“暗网”这个词暴露在公众视野已经有年头了。前阵子一个新华社的朋友又来问相关问题，我才意识到可能很多媒体人一直没真正理解暗网到底是什么，所以越写越玄乎。一般单位都有个内网，这个内网你在互联网上访问不到。但你在家里或者出差的时候要访问单位内网怎么办呢？可以通过 VPN 拨进去。暗网就是一个公共的大内网，所有人都通过一个类似 VPN 的软件来访问。就是这么点事儿。互联网是在政府治理体系中的。你在互联网上干点违法犯罪的事儿，根据 IP 地址等信息，就可以顺着网线来抓你。但暗网因为是个大内网，里面 IP 地址、域名之类都是自己的一套体系，和互联网没关系，不在政府治理体系之中。所以是自由之地，也是犯罪天堂。                                 ,无,无,2019-06-16 12:53,HuaweiPhone客户端,135,10,32
Hz3JOcQPf,有一样东西，每年都会害死很多美国人，但因为这个东西是民族文化的一部分，有深厚的群众基础，背后还有着庞大的利益集团，所以美国甚至有专门的法律来保护它，虽然这东西在很多其它国家都是不合法的。这个东西是_____有一样东西，每年都会害死很多中国人，但因为这个东西是民族文化的一部分，有深厚的群众基础，背后还有着庞大的利益集团，所以中国甚至有专门的法律来保护它，虽然这东西在很多其它国家都是不合法的。这个东西是_____                                 ,无,无,2019-06-15 21:27,HuaweiPhone客户端,208,360,182
Hz2wHelol,学校教育的方式是：由浅入深，先理论再实践，多门基础课一起平面推进。这种方式的好处是学得扎实，适合批量培养人。缺点是出活儿慢，没有利用人的内驱力。师傅带徒弟或者自学的情况下就不一定要按批量教学的方式来。我个人的经验是不管会不会，先动手搞起来。而且不搞太入门的，要难度中等，这样才有成就感，能形成正反馈，调动内驱力。过程中会遇到很多不懂的东西，没关系，遇到什么就去学什么。这个阶段不求多求全，以把手头的东西搞起来为目标。搞成了再设定一个更难的新目标。新老目标之间要有继承性。最后等高难度目标也能搞定了，再转过头系统性地去看看相关技术资料，加固一下地基。                                 ,无,无,2019-06-15 18:22,HuaweiPhone客户端,496,364,58
Hz11Dd4wJ,你是 50 年代蒋介石白色恐怖统治下台湾某大学的一个学生，现在特别想通过检举揭发教授来体现自己对蒋总统的忠诚。但时间有限，只能选择一个教授来调查。你会选择哪个专业的教授？  ,无,无,2019-06-15 14:33,HuaweiPhone客户端,66,18,77
HyRbZ3rrB,我关注@来去之间 应该不止100天了吧？  原图 ,http://wx2.sinaimg.cn/large/53899d01ly1g40mfy01hoj20v90sgqcg.jpg,无,2019-06-14 13:31,HuaweiPhone客户端,68,3,86
HyPiRi49w,前阵子在一个会上，我给全国各央企的网安负责人介绍了美军培养人才的操作路线，特别是怎么通过比赛来刺激各军种在人才培养上的积极性。因为从公开资料看，各军种的投入明显是不一样的。比赛有偶然性成分，大家拿不到冠军心里其实也没很大负担。美国国防部的套路是不搞综合赛，搞 8 个单项赛。8 个单项赛，就是 24 个冠亚季军。结果陆军只拿到其中 3 个，而且都不是冠军。这就很难看了对不对？而且这个比赛结果还被公布到了国防部网站上。从那之后，陆军就变成了最积极的那个。                                 ,无,无,2019-06-14 08:42,HuaweiPhone客户端,163,48,26
HyKdOngMT,当你用 Edge 访问 Google 时，以及在 Bing 上搜索“Chrome”时：  [组图共2张] 原图 ,"http://ww4.sinaimg.cn/large/53899d01ly1g3zrowy9y0j20ic09c0ta.jpg,http://ww4.sinaimg.cn/large/53899d01ly1g3zrp02pn5j21050j740d.jpg",无,2019-06-13 19:46,微博 weibo.com,100,27,26
HyHXbBIlT,类似大疆机甲大师 RoboMaster 这样的产品，一定会被改造作武器。随之带来的问题并不是此类产品的问题，而是科技发展的必然结果。  ,无,无,2019-06-13 14:00,HuaweiPhone客户端,134,42,55
HyHsYaEFu,2019 年 7 月 25 日，旧金山。沃伦·巴菲特扶了扶眼镜，看了一眼面前的餐盘，眉头微皱，但瞬间又恢复了平常的表情，用毫不失礼的语气说：“看来我们今天要吃异国风味。这是什么食物啊？”对面年轻人刚才的那一点紧张和局促已经消失，他恭敬地回答道：“这叫韭菜。”巴菲特笑着说：“我可不是个素食主义者啊。”年轻人已经完全放松下来。他向后仰了仰身子，靠到了椅背上，也笑着说：“我向您保证，这绝对不是素食。”...........巴菲特一下怔住了。他仔细端详着面前这盘绿色植物，似乎嗅到一丝带着铁锈味的甜腥。                                 ,无,无,2019-06-13 12:45,HuaweiPhone客户端,423,274,74
HyGuJqOO3,六十年代的嬉皮士运动及其当代遗毒的思想中有一个内在矛盾：回归自然和平等博爱其实是不兼容的。平等博爱的基础是现代工业文明带来的发达生产力。而“回归自然”的唯一可能就是达尔文社会——无论你是不是社会达尔文主义者。当然，今天的生产力足够发达，完全可以保障少数人一边享受着“回归自然”的优越感，一边提倡平等博爱，一边鄙视着用现代工业文明供养他们的人。                                 ,无,无,2019-06-13 10:17,HuaweiPhone客户端,194,88,13
HyG6Cxwz8,是时候发明一个新成语了。“朋移贴墙”  ,无,无,2019-06-13 09:17,HuaweiPhone客户端,77,24,56
HyvU2eMC7,你看，其实各国罗织罪名的姿势都差不多。想整你怎么都能找到角度。说起来，奥巴马同父异母的弟弟已经在深圳住了快二十年，还娶了个河南媳妇……『美媒深扒美国交通部长赵小兰 暗指其“私通中国”_手机新浪网』美媒深扒美国交通部长赵小兰 暗指其“私通中国”  ,无,无,2019-06-12 07:19,HuaweiPhone客户端,83,40,43
HytxguXIX,王安石的《游褒禅山记》中学应该都学过。我记得好像还要求全文背诵。这篇文字并不艰深，里面讲的道理也并不复杂。如果你当年一直把这个道理记在心里，可能现在有些事会不同：夫夷以近，则游者众；险以远，则至者少。而世之奇伟、瑰怪，非常之观，常在于险远，而人之所罕至焉，故非有志者不能至也。有志矣，不随以止也，然力不足者，亦不能至也。有志与力，而又不随以怠，至于幽暗昏惑而无物以相之，亦不能至也。                                 ,无,无,2019-06-12 01:17,HuaweiPhone客户端,320,218,56
HyoS4EIz6,古代，文化输出主要靠印刷术。而现在，文化输出的主要载体变成了影视和游戏。世嘉的《全面战争：三国》让很多欧美年轻人都开始关注两千年前那段中国历史。这么成功的一次文化输出，却没花中国一分钱。这是因为当年我们通过印刷术对日本进行了成功的文化输出。所以，这一次其实还是在享受祖先的遗产。  ,无,无,2019-06-11 13:25,微博 weibo.com,236,90,42
Hyoy3Bvlr,美国国会里可能有一部分人希望中国变成美国那样，但一定有更多的人希望中国变成拉丁美洲那样。五角大楼里的人则两者都不希望。因为那样的话他们的国防预算就要被砍了。  ,无,无,2019-06-11 12:36,微博 weibo.com,206,33,63
Hymzn4c7H,王志安跳下去了，罗玉凤也跳下去了。跳下去，就融化在了蓝天里。  ,无,无,2019-06-11 07:33,HuaweiPhone客户端,254,75,169
